image_id,split,fg_ratio,n_components,component_id,area,width,height,bbox_left,bbox_top,bbox_right,bbox_bottom,aspect_ratio,perimeter,circularity,solidity
000213,train,0.0339,2,1,314,11,34,132,28,143,62,0.3235,78.38,0.642209,1.092174
000213,train,0.0339,2,2,1042,13,127,127,73,140,200,0.1024,272.77,0.175989,0.914436
000207,train,0.003925,1,1,157,13,20,109,13,122,33,0.65,51.46,0.745144,1.094077
000201,train,0.09555,4,1,1757,25,109,76,0,101,109,0.2294,254.23,0.34162,0.88715
000201,train,0.09555,4,2,252,10,36,56,54,66,90,0.2778,80.97,0.48301,1.039175
000201,train,0.09555,4,3,460,11,59,54,100,65,159,0.1864,126.87,0.359128,1.004367
000201,train,0.09555,4,4,1353,24,75,79,125,103,200,0.32,185.36,0.494877,0.943515
000218,train,0.029125,2,1,853,25,54,62,78,87,132,0.463,146.08,0.502294,0.95254
000218,train,0.029125,2,2,312,13,36,119,97,132,133,0.3611,84.87,0.544321,0.987342
000217,train,0.106675,1,1,4267,38,200,65,0,103,200,0.19,548.11,0.178485,0.803805
000211,train,0.038675,2,1,978,24,65,78,0,102,65,0.3692,168.28,0.433972,0.873214
000211,train,0.038675,2,2,569,14,77,102,123,116,200,0.1818,175.46,0.232266,0.728553
000208,train,0.0435,2,1,144,8,25,96,7,104,32,0.32,56.14,0.574109,1.103448
000208,train,0.0435,2,2,1596,21,103,61,97,82,200,0.2039,230.43,0.377727,0.972578
000203,train,0.082425,1,1,3297,35,182,37,8,72,190,0.1923,398.27,0.261204,0.87084
000205,train,0.1058,2,1,3559,38,186,130,14,168,200,0.2043,412.89,0.262337,0.852455
000205,train,0.1058,2,2,673,14,94,29,83,43,177,0.1489,201.36,0.208592,0.813293
000214,train,0.028875,1,1,1155,15,109,87,74,102,183,0.1376,231.94,0.269797,1.002604
000206,train,0.018025,2,1,473,12,68,177,0,189,68,0.1765,149.46,0.2661,0.850719
000206,train,0.018025,2,2,248,9,46,30,134,39,180,0.1957,97.21,0.32977,1.010183
000212,train,0.028825,1,1,1153,24,90,49,53,73,143,0.2667,225.88,0.283972,0.864966
