image_id,split,issues,status
000234,train,ok,ok
000220,train,ok,ok
000216,train,ok,ok
000215,train,ok,ok
000201,train,ok,ok
000230,train,ok,ok
000239,train,ok,ok
000208,train,ok,ok
000221,train,ok,ok
000213,train,ok,ok
000236,train,ok,ok
000225,train,ok,ok
000238,train,ok,ok
000223,train,ok,ok
000204,train,ok,ok
000224,train,ok,ok
000206,train,ok,ok
000209,train,ok,ok
000226,train,ok,ok
000202,train,ok,ok
000203,train,ok,ok
000232,train,ok,ok
000214,train,ok,ok
000233,train,ok,ok
000229,train,ok,ok
000207,train,ok,ok
000211,train,ok,ok
000210,train,ok,ok
000219,train,ok,ok
000205,train,ok,ok
000212,train,ok,ok
000240,train,ok,ok
000217,train,ok,ok
000227,train,ok,ok
000222,train,ok,ok
000228,train,ok,ok
000231,train,ok,ok
000237,train,ok,ok
000218,train,ok,ok
000242,train,ok,ok
000235,train,ok,ok
000241,train,ok,ok
000247,train,ok,ok
000243,train,ok,ok
000244,train,ok,ok
000245,train,ok,ok
000248,train,ok,ok
000250,train,ok,ok
000249,train,ok,ok
000246,train,ok,ok
000252,train,ok,ok
000251,train,ok,ok
000253,train,ok,ok
000254,train,ok,ok
000255,train,ok,ok
000258,train,ok,ok
000259,train,ok,ok
000257,train,ok,ok
000256,train,ok,ok
000262,train,ok,ok
000261,train,ok,ok
000263,train,ok,ok
000260,train,ok,ok
000265,train,ok,ok
000266,train,ok,ok
000264,train,ok,ok
000267,train,ok,ok
000271,train,ok,ok
000270,train,ok,ok
000268,train,ok,ok
000269,train,ok,ok
000272,train,ok,ok
000274,train,ok,ok
000273,train,ok,ok
000275,train,ok,ok
000277,train,ok,ok
000278,train,ok,ok
000280,train,ok,ok
000279,train,ok,ok
000276,train,ok,ok
000282,train,ok,ok
000281,train,ok,ok
000284,train,ok,ok
000288,train,ok,ok
000283,train,ok,ok
000285,train,ok,ok
000286,train,ok,ok
000289,train,ok,ok
000287,train,ok,ok
000290,train,ok,ok
000292,train,ok,ok
000293,train,ok,ok
000296,train,ok,ok
000291,train,ok,ok
000294,train,ok,ok
000295,train,ok,ok
000297,train,ok,ok
000300,train,ok,ok
000298,train,ok,ok
000501,train,ok,ok
000299,train,ok,ok
000502,train,ok,ok
000504,train,ok,ok
000505,train,ok,ok
000503,train,ok,ok
000507,train,ok,ok
000509,train,ok,ok
000506,train,ok,ok
000510,train,ok,ok
000508,train,ok,ok
000511,train,ok,ok
000512,train,ok,ok
000514,train,ok,ok
000513,train,ok,ok
000515,train,ok,ok
000516,train,ok,ok
000518,train,ok,ok
000517,train,ok,ok
000520,train,ok,ok
000522,train,ok,ok
000521,train,ok,ok
000524,train,ok,ok
000525,train,ok,ok
000519,train,ok,ok
000523,train,ok,ok
000527,train,ok,ok
000526,train,ok,ok
000528,train,ok,ok
000530,train,ok,ok
000529,train,ok,ok
000532,train,ok,ok
000533,train,ok,ok
000531,train,ok,ok
000535,train,ok,ok
000534,train,ok,ok
000536,train,ok,ok
000539,train,ok,ok
000538,train,ok,ok
000537,train,ok,ok
000540,train,ok,ok
000543,train,ok,ok
000544,train,ok,ok
000547,train,ok,ok
000542,train,ok,ok
000541,train,ok,ok
000546,train,ok,ok
000549,train,ok,ok
000548,train,ok,ok
000552,train,ok,ok
000554,train,ok,ok
000545,train,ok,ok
000553,train,ok,ok
000550,train,ok,ok
000555,train,ok,ok
000551,train,ok,ok
000557,train,ok,ok
000559,train,ok,ok
000560,train,ok,ok
000556,train,ok,ok
000558,train,ok,ok
000561,train,ok,ok
000562,train,ok,ok
000563,train,ok,ok
000565,train,ok,ok
000564,train,ok,ok
000568,train,ok,ok
000569,train,ok,ok
000570,train,ok,ok
000567,train,ok,ok
000566,train,ok,ok
000574,train,ok,ok
000571,train,ok,ok
000572,train,ok,ok
000575,train,ok,ok
000573,train,ok,ok
000578,train,ok,ok
000577,train,ok,ok
000576,train,ok,ok
000579,train,ok,ok
000581,train,ok,ok
000580,train,ok,ok
000582,train,ok,ok
000586,train,ok,ok
000585,train,ok,ok
000583,train,ok,ok
000587,train,ok,ok
000584,train,ok,ok
000590,train,ok,ok
000588,train,ok,ok
000594,train,ok,ok
000589,train,ok,ok
000593,train,ok,ok
000591,train,ok,ok
000596,train,ok,ok
000598,train,ok,ok
000600,train,ok,ok
000592,train,ok,ok
000599,train,ok,ok
000597,train,ok,ok
000595,train,ok,ok
000601,train,ok,ok
000603,train,ok,ok
000602,train,ok,ok
000604,train,ok,ok
000605,train,ok,ok
000608,train,ok,ok
000609,train,ok,ok
000607,train,ok,ok
000606,train,ok,ok
000612,train,ok,ok
000613,train,ok,ok
000611,train,ok,ok
000614,train,ok,ok
000610,train,ok,ok
000615,train,ok,ok
000618,train,ok,ok
000617,train,ok,ok
000616,train,ok,ok
000619,train,ok,ok
000620,train,ok,ok
000624,train,ok,ok
000623,train,ok,ok
000621,train,ok,ok
000622,train,ok,ok
000625,train,ok,ok
000628,train,ok,ok
000626,train,ok,ok
000627,train,ok,ok
000629,train,ok,ok
000630,train,ok,ok
000633,train,ok,ok
000631,train,ok,ok
000632,train,ok,ok
000635,train,ok,ok
000637,train,ok,ok
000636,train,ok,ok
000638,train,ok,ok
000634,train,ok,ok
000641,train,ok,ok
000640,train,ok,ok
000639,train,ok,ok
000644,train,ok,ok
000645,train,ok,ok
000643,train,ok,ok
000642,train,ok,ok
000648,train,ok,ok
000649,train,ok,ok
000647,train,ok,ok
000646,train,ok,ok
000651,train,ok,ok
000650,train,ok,ok
000652,train,ok,ok
000653,train,ok,ok
000654,train,ok,ok
000655,train,ok,ok
000657,train,ok,ok
000659,train,ok,ok
000658,train,ok,ok
000661,train,ok,ok
000656,train,ok,ok
000662,train,ok,ok
000660,train,ok,ok
000664,train,ok,ok
000666,train,ok,ok
000663,train,ok,ok
000667,train,ok,ok
000668,train,ok,ok
000665,train,ok,ok
000671,train,ok,ok
000669,train,ok,ok
000673,train,ok,ok
000672,train,ok,ok
000674,train,ok,ok
000670,train,ok,ok
000678,train,ok,ok
000675,train,ok,ok
000676,train,ok,ok
000677,train,ok,ok
000680,train,ok,ok
000683,train,ok,ok
000682,train,ok,ok
000679,train,ok,ok
000685,train,ok,ok
000684,train,ok,ok
000686,train,ok,ok
000681,train,ok,ok
000689,train,ok,ok
000687,train,ok,ok
000691,train,ok,ok
000688,train,ok,ok
000692,train,ok,ok
000690,train,ok,ok
000696,train,ok,ok
000693,train,ok,ok
000695,train,ok,ok
000694,train,ok,ok
000697,train,ok,ok
000698,train,ok,ok
000699,train,ok,ok
000901,train,ok,ok
000902,train,ok,ok
000700,train,ok,ok
000904,train,ok,ok
000905,train,ok,ok
000903,train,ok,ok
000906,train,ok,ok
000909,train,ok,ok
000907,train,ok,ok
000911,train,ok,ok
000910,train,ok,ok
000908,train,ok,ok
000912,train,ok,ok
000913,train,ok,ok
000915,train,ok,ok
000914,train,ok,ok
000916,train,ok,ok
000917,train,ok,ok
000918,train,ok,ok
000921,train,ok,ok
000919,train,ok,ok
