image_id,split,area,width,height,size_category
000240,train,95,6,26,small
000213,train,314,11,34,small
000213,train,1042,13,127,medium
000261,train,542,15,50,small
000261,train,2556,27,151,medium
000261,train,350,15,47,small
000228,train,117,6,28,small
000268,train,3438,27,200,medium
000250,train,2169,19,200,medium
000236,train,294,11,42,small
000236,train,259,11,37,small
000243,train,193,11,29,small
000243,train,170,7,42,small
000243,train,208,7,37,small
000223,train,308,10,56,small
000223,train,152,12,19,small
000218,train,853,25,54,small
000218,train,312,13,36,small
000208,train,144,8,25,small
000208,train,1596,21,103,medium
000257,train,169,8,28,small
000257,train,123,6,24,small
000203,train,3297,35,182,medium
000264,train,5024,36,187,medium
000264,train,570,16,67,small
000264,train,783,14,77,small
000264,train,280,6,62,small
000232,train,154,10,27,small
000232,train,125,7,41,small
000232,train,175,6,34,small
000217,train,4267,38,200,medium
000271,train,395,11,62,small
000271,train,691,16,81,small
000239,train,191,10,31,small
000227,train,33,5,11,small
000204,train,617,13,93,small
000253,train,199,7,38,small
000253,train,300,7,69,small
000246,train,2761,17,200,medium
000246,train,257,8,45,small
000260,train,421,13,50,small
000260,train,2316,25,122,medium
000260,train,326,12,41,small
000222,train,739,15,95,small
000267,train,1757,30,144,medium
000212,train,1153,24,90,medium
000202,train,1575,23,109,medium
000202,train,300,10,51,small
000202,train,432,11,59,small
000202,train,1234,25,75,medium
000235,train,121,8,29,small
000235,train,64,5,18,small
000235,train,277,11,38,small
000235,train,231,10,35,small
000205,train,3559,38,186,medium
000205,train,673,14,94,small
000249,train,267,11,29,small
000249,train,136,7,24,small
000249,train,459,10,74,small
000242,train,98,6,24,small
000242,train,179,6,43,small
000242,train,223,8,38,small
000231,train,71,4,19,small
000231,train,154,7,41,small
000231,train,172,7,35,small
000256,train,395,12,51,small
000256,train,483,10,90,small
000216,train,5604,41,200,medium
000263,train,636,11,76,small
000226,train,2083,22,150,medium
000207,train,157,13,20,small
000221,train,3309,36,183,medium
000221,train,712,15,97,small
000270,train,2251,28,200,medium
000238,train,51,5,14,small
000238,train,218,8,44,small
000211,train,978,24,65,small
000211,train,569,14,77,small
000252,train,432,8,78,small
000245,train,291,11,38,small
000245,train,207,10,31,small
000220,train,3438,38,185,medium
000259,train,1875,20,120,medium
000266,train,2176,27,200,medium
000230,train,902,14,103,small
000248,train,2379,17,193,medium
000234,train,154,7,42,small
000234,train,181,7,36,small
000234,train,43,5,12,small
000234,train,56,8,11,small
000241,train,128,11,17,small
000241,train,46,6,9,small
000225,train,485,13,60,small
000215,train,5150,42,194,medium
000206,train,473,12,68,small
000206,train,248,9,46,small
000255,train,291,11,49,small
000255,train,414,11,63,small
000247,train,2979,21,200,medium
000210,train,909,12,126,small
000262,train,576,16,70,small
000262,train,742,13,73,small
000262,train,276,7,62,small
000209,train,3005,27,193,medium
000201,train,1757,25,109,medium
000201,train,252,10,36,small
000201,train,460,11,59,small
000201,train,1353,24,75,medium
000237,train,39,4,13,small
000237,train,45,4,15,small
000237,train,49,5,14,small
000251,train,151,5,36,small
000251,train,539,12,64,small
000244,train,185,11,29,small
000244,train,224,8,39,small
000244,train,99,5,24,small
000244,train,224,11,29,small
000229,train,746,13,90,small
000214,train,1155,15,109,medium
000258,train,5268,36,200,medium
000258,train,2051,30,119,medium
000265,train,332,8,62,small
000265,train,4026,33,200,medium
000265,train,231,13,28,small
000254,train,1257,11,166,medium
000219,train,359,11,60,small
000233,train,122,5,38,small
000233,train,163,7,33,small
000224,train,2180,24,134,medium
000269,train,257,10,36,small
000273,train,341,11,45,small
000275,train,628,19,66,small
000275,train,271,12,36,small
000272,train,917,16,101,small
000278,train,2875,25,200,medium
000274,train,1143,17,114,medium
000277,train,3902,29,200,medium
000276,train,653,17,76,small
000276,train,2742,42,164,medium
000276,train,886,15,94,small
000283,train,883,13,119,small
000284,train,213,6,46,small
000284,train,173,12,32,small
000286,train,990,17,129,small
000285,train,1907,21,165,medium
000280,train,1402,17,146,medium
000282,train,892,17,123,small
000279,train,389,9,80,small
000281,train,164,7,31,small
000281,train,309,17,44,small
000287,train,94,7,18,small
000287,train,564,11,69,small
000288,train,1238,14,157,medium
000288,train,93,6,20,small
000292,train,133,7,29,small
000292,train,76,5,20,small
000292,train,368,10,62,small
000292,train,159,9,24,small
000291,train,1686,22,149,medium
000291,train,173,7,29,small
000291,train,293,9,43,small
000289,train,195,8,36,small
000289,train,221,10,36,small
000289,train,317,10,47,small
000293,train,214,9,40,small
000293,train,450,12,57,small
000293,train,152,8,30,small
000290,train,1904,22,165,medium
000298,train,120,7,25,small
000298,train,121,6,25,small
000298,train,448,15,42,small
000298,train,144,6,34,small
000295,train,121,6,24,small
000295,train,837,14,105,small
000295,train,308,7,61,small
000297,train,4018,36,163,medium
000294,train,263,7,45,small
000294,train,93,6,19,small
000294,train,148,5,35,small
000296,train,432,13,53,small
000299,train,338,9,49,small
000504,train,7520,62,200,medium
000300,train,88,7,22,small
000300,train,143,8,25,small
000300,train,90,6,18,small
000502,train,6713,145,151,medium
000502,train,3946,65,91,medium
000502,train,388,27,23,small
000506,train,2787,40,96,medium
000506,train,7543,59,182,medium
000506,train,2743,64,74,medium
000503,train,12413,105,200,large
000507,train,3353,58,77,medium
000507,train,483,32,25,small
000507,train,4744,87,68,medium
000507,train,1238,30,63,medium
000501,train,462,34,18,small
000501,train,9668,170,124,large
000501,train,1187,41,40,medium
000501,train,875,62,35,small
000505,train,4389,81,92,medium
000505,train,7282,79,145,medium
000505,train,4780,72,96,medium
000511,train,293,35,13,small
000511,train,17786,124,200,large
000510,train,27832,197,200,large
000508,train,8942,88,158,medium
000508,train,1069,41,47,medium
000509,train,18373,198,198,large
000509,train,3307,104,46,medium
000512,train,14496,111,200,large
000512,train,797,43,29,small
000512,train,3409,46,126,medium
000515,train,16923,126,200,large
000515,train,8272,61,200,medium
000518,train,1328,33,49,medium
000518,train,11830,90,198,large
000518,train,7406,86,113,medium
000513,train,2104,51,62,medium
000513,train,4122,49,113,medium
000517,train,2420,41,68,medium
000517,train,14029,138,200,large
000517,train,1746,47,60,medium
000517,train,748,31,32,small
000514,train,2168,77,61,medium
000514,train,3125,67,83,medium
000520,train,17032,187,191,large
000519,train,5067,69,104,medium
